neg,neu,pos,compound,eid,pii
0.004,0.957,0.039,0.9947,2-s2.0-0036929150,S0047248402906020
0.041,0.871,0.088,0.9983,2-s2.0-0018761391,47248479900630
0.025,0.903,0.072,0.9998,2-s2.0-84855200858,S0047248411002168
0.019,0.938,0.043,0.9997,2-s2.0-85089543743,S0047248420301135
0.027,0.898,0.074,0.9999,2-s2.0-64449084558,S0047248408002352
0.026,0.847,0.127,0.9997,2-s2.0-0018179430,S0047248478800050
0.026,0.842,0.132,0.9999,2-s2.0-1242276665,S0047248403001593
0.018,0.907,0.074,0.9998,2-s2.0-80955180580,S0047248411000856
0.02,0.887,0.093,0.9999,2-s2.0-84940453107,S0047248415001384
0.076,0.899,0.025,-0.992,2-s2.0-0036671498,S0047248402905749
0.023,0.881,0.095,0.9996,2-s2.0-0348075554,47248474900153
0.013,0.915,0.072,0.9999,2-s2.0-85015322048,S0047248417300374
0.015,0.904,0.08,0.9999,2-s2.0-84952894350,S0047248415002547
0.027,0.898,0.075,0.9999,2-s2.0-67349208393,S0047248409000281
0.03,0.904,0.066,0.9985,2-s2.0-49649146146,47248472900632
0.046,0.878,0.076,0.9955,2-s2.0-34249737910,S0047248407000607
0.02,0.919,0.06,0.9992,2-s2.0-0000627715,47248487900662
0.009,0.913,0.078,0.9896,2-s2.0-0009638364,47248480900901
0.065,0.813,0.122,0.9995,2-s2.0-0018151256,S0047248478800396
0.038,0.895,0.067,0.9994,2-s2.0-3042794208,S0047248404000624
0.014,0.913,0.073,0.9994,2-s2.0-78149386049,S0047248410001429
0.037,0.901,0.062,0.9994,2-s2.0-84885391147,S0047248413001723
0.014,0.91,0.076,1.0,2-s2.0-84930182165,S004724841500055X
0.007,0.897,0.096,0.9978,2-s2.0-0017569974,S0047248477801000
0.026,0.887,0.086,0.9991,2-s2.0-0344517854,S0047248482800092
0.026,0.91,0.064,0.9998,2-s2.0-84863516391,S0047248412000930
0.079,0.799,0.121,0.9964,2-s2.0-0018606047,47248479900149
0.02,0.913,0.066,0.9998,2-s2.0-33947509909,S0047248406002107
0.022,0.93,0.048,0.9997,2-s2.0-85069968707,S0047248418303749
0.015,0.919,0.066,0.9986,2-s2.0-85018249061,S0047248417300118
0.072,0.862,0.066,-0.9934,2-s2.0-84859159890,S0047248412000176
0.025,0.895,0.079,0.9999,2-s2.0-84906941783,S0047248414001456
0.018,0.912,0.07,0.9081,2-s2.0-0028325670,S0047248484710098
0.034,0.905,0.061,0.9996,2-s2.0-85025811760,S0047248417302762
0.094,0.83,0.076,-0.9969,2-s2.0-0016318449,47248474900128
0.021,0.894,0.085,0.9999,2-s2.0-85066241179,S004724841930017X
0.02,0.887,0.093,0.9998,2-s2.0-84898055372,S0047248414000050
0.032,0.844,0.125,0.9998,2-s2.0-32044441628,S0047248405001636
0.028,0.929,0.043,0.9987,2-s2.0-85071327555,S0047248419301198
0.047,0.877,0.076,0.9998,2-s2.0-69749091697,S0047248409000700
0.074,0.782,0.143,0.999,2-s2.0-58149373052,S0047248484800858
0.066,0.864,0.069,0.9862,2-s2.0-84879191213,S0047248413001164
0.013,0.86,0.127,0.9999,2-s2.0-84945279933,S0047248415002183
0.054,0.867,0.079,0.9994,2-s2.0-0038205748,S0047248403000253
0.039,0.856,0.105,0.9983,2-s2.0-0026281933,47248491900632
0.031,0.892,0.077,0.9761,2-s2.0-0029519638,S0047248485710731
0.033,0.908,0.06,0.9995,2-s2.0-84898055499,S0047248414000396
0.009,0.935,0.056,0.9584,2-s2.0-0033227252,S004724849990338X
0.029,0.841,0.13,0.9996,2-s2.0-0005576803,0047-2484(90)90069-N
0.021,0.885,0.093,1.0,2-s2.0-85019831298,S0047248417301288
0.034,0.854,0.113,0.9997,2-s2.0-33749441943,47248472900425
0.031,0.89,0.079,0.9992,2-s2.0-0020063444,S0047248482800456
0.046,0.875,0.078,0.9943,2-s2.0-0001035892,004724849190024P
0.018,0.906,0.076,0.9999,2-s2.0-85084252349,S0047248420300476
0.025,0.94,0.034,0.765,2-s2.0-0032916463,S0047248498902639
0.016,0.909,0.075,0.9997,2-s2.0-45449126490,47248488900371
0.018,0.906,0.075,0.9999,2-s2.0-85105933105,S0047248421000488
0.025,0.879,0.095,0.9997,2-s2.0-0021255001,S0047248484800767
0.032,0.908,0.06,0.9998,2-s2.0-85079225422,S0047248420300026
0.02,0.904,0.077,0.9998,2-s2.0-56149095616,S004724840800119X
0.034,0.909,0.057,0.999,2-s2.0-85024605372,S0047248481800619
0.047,0.895,0.058,0.9928,2-s2.0-58149405792,S0047248477800390
0.04,0.859,0.101,0.9994,2-s2.0-0022255015,S0047248485800373
0.021,0.917,0.061,0.998,2-s2.0-84858069120,S0047248412000048
0.061,0.897,0.042,-0.999,2-s2.0-84906940763,S0047248414001092
0.029,0.876,0.095,0.9999,2-s2.0-84964562271,S0047248416000488
0.002,0.958,0.04,0.9853,2-s2.0-0015865656,47248473900031
0.038,0.876,0.086,0.9997,2-s2.0-84899049065,S004724841400058X
0.203,0.742,0.055,-1.0,2-s2.0-33947414085,S0047248406002193
0.021,0.906,0.073,0.9999,2-s2.0-85072275810,S0047248418304366
0.006,0.959,0.036,0.9698,2-s2.0-0031254757,S0047248497901603
0.026,0.893,0.081,0.9998,2-s2.0-38949090479,S0047248407001893
0.0,0.947,0.053,0.8807,2-s2.0-0008394834,S0047248496900810
0.017,0.936,0.047,0.9998,2-s2.0-0026464774,S0047248405800065
0.055,0.885,0.06,0.6808,2-s2.0-0028586958,S0047248484710372
0.023,0.873,0.104,1.0,2-s2.0-84937971859,S0047248415001347
0.013,0.898,0.089,0.9999,2-s2.0-3042717174,S0047248404000521
0.045,0.913,0.042,-0.8646,2-s2.0-0345125906,S0047248485800518
0.035,0.894,0.07,0.9618,2-s2.0-0029757538,S0047248496900056
0.023,0.919,0.058,0.9992,2-s2.0-84855195609,S0047248411002144
0.03,0.905,0.065,0.9987,2-s2.0-39149130376,S004724840700200X
0.041,0.893,0.066,0.9986,2-s2.0-33750632742,S0047248406001357
0.033,0.884,0.083,0.9999,2-s2.0-1542376553,S0047248403001696
0.021,0.895,0.084,0.9998,2-s2.0-33747056368,S0047248406000546
0.078,0.833,0.089,-0.9799,2-s2.0-49649141826,47248472900188
0.047,0.877,0.075,0.9943,2-s2.0-0019311966,47248480900184
0.039,0.902,0.06,0.9918,2-s2.0-0016172401,47248474900256
0.024,0.89,0.086,0.9999,2-s2.0-34447104041,S0047248407000851
0.026,0.888,0.086,1.0,2-s2.0-38249032021,004724848890053X
0.021,0.912,0.067,0.9991,2-s2.0-77958166708,S0047248410001405
0.016,0.941,0.043,0.9877,2-s2.0-0033887905,S0047248400904056
0.031,0.883,0.086,0.9999,2-s2.0-85051017103,S0047248417304931
0.017,0.911,0.072,0.9997,2-s2.0-0022262297,S0047248485800324
0.014,0.831,0.155,0.999,2-s2.0-45949116633,47248487900121
0.022,0.903,0.075,0.9999,2-s2.0-55949120411,S0047248408001401
0.053,0.878,0.069,0.9997,2-s2.0-33845678871,47248475900068
0.02,0.932,0.048,0.9996,2-s2.0-51349104777,S004724840800081X
0.031,0.921,0.048,0.9971,2-s2.0-0016172288,47248474901778
0.045,0.911,0.044,0.0,2-s2.0-0031448606,S0047248497901615
0.03,0.889,0.081,0.9997,2-s2.0-0022448041,S0047248486800604
0.042,0.891,0.067,0.9942,2-s2.0-0020300760,S0047-2484(82)80053-5
0.019,0.936,0.044,0.9991,2-s2.0-0141793616,S0047248403000642
0.021,0.92,0.059,0.9964,2-s2.0-0006366831,S0047248482801085
0.064,0.876,0.06,-0.9699,2-s2.0-34548567784,S0047248407001169
0.023,0.893,0.084,0.9999,2-s2.0-85033554194,S0047248416301798
0.0,0.891,0.109,0.9892,2-s2.0-0031112171,S0047248496901128
0.018,0.914,0.068,0.9999,2-s2.0-84974593556,S004724841630032X
0.028,0.929,0.043,0.9985,2-s2.0-85101607285,S0047248421000099
0.064,0.88,0.056,-0.9687,2-s2.0-0001534350,47248488900760
0.039,0.887,0.075,1.0,2-s2.0-85012303419,S0047248417300088
0.038,0.844,0.117,0.9999,2-s2.0-85106385357,S004724842100066X
0.048,0.878,0.074,0.9997,2-s2.0-77957687475,S004724841000134X
0.047,0.872,0.081,0.972,2-s2.0-58149371981,S0047248485800762
0.038,0.888,0.074,0.9996,2-s2.0-84907272625,S004724841400178X
0.029,0.857,0.115,0.9983,2-s2.0-0008363968,S004724848380030X
0.016,0.886,0.098,0.9999,2-s2.0-24644518584,S0047248405000898
0.025,0.908,0.067,0.9999,2-s2.0-0026281782,004724849190001C
0.035,0.911,0.055,0.9978,2-s2.0-21244439466,S0047248405000461
0.012,0.903,0.086,0.9999,2-s2.0-85026292304,S0047248417302774
0.046,0.868,0.086,0.999,2-s2.0-0019486389,S0047248481800176
0.04,0.852,0.108,0.9999,2-s2.0-85085162719,S0047248420300749
0.01,0.948,0.042,0.9413,2-s2.0-0031132971,S0047248496901256
0.029,0.902,0.068,0.9993,2-s2.0-84952989224,S0047248415002195
0.018,0.899,0.082,0.999,2-s2.0-0019143744,004724848090055X
0.029,0.922,0.049,0.9993,2-s2.0-85040583268,S0047248417303020
0.023,0.89,0.087,0.9987,2-s2.0-0019773874,S0047248481800930
0.018,0.926,0.056,0.9988,2-s2.0-0022517003,S0047248486800653
0.037,0.887,0.076,0.9994,2-s2.0-51349146422,S0047248408000882
0.019,0.939,0.042,0.9953,2-s2.0-33846592959,S0047248406001746
0.061,0.873,0.065,0.8566,2-s2.0-84864547811,S0047248411001400
0.037,0.905,0.057,0.9993,2-s2.0-80555150552,S0047248411001953
0.015,0.937,0.048,0.9971,2-s2.0-49649145120,004724847290036X
0.067,0.827,0.105,0.9989,2-s2.0-0037534462,S0047248403000496
0.028,0.92,0.051,0.9989,2-s2.0-33646781293,S0047248406000157
0.032,0.851,0.117,1.0,2-s2.0-85049899602,S0047248417304566
0.021,0.894,0.085,0.9988,2-s2.0-0011479361,004724849090066K
0.012,0.941,0.047,0.9888,2-s2.0-0031147892,S0047248496901190
0.02,0.908,0.073,0.9999,2-s2.0-84957673364,S004724841500250X
0.011,0.924,0.065,0.9997,2-s2.0-42649128704,S0047248407002084
0.036,0.853,0.111,0.9999,2-s2.0-38349161021,S0047248407001352
0.024,0.918,0.058,0.9986,2-s2.0-0041973392,47248473900924
0.016,0.869,0.114,0.9993,2-s2.0-33748900868,S0047248406000911
0.009,0.954,0.037,0.9953,2-s2.0-0018743020,47248479900915
0.033,0.888,0.079,0.9999,2-s2.0-0000425713,47248488900255
0.016,0.931,0.053,0.9963,2-s2.0-0020891188,S0047248483801262
0.067,0.842,0.092,0.9936,2-s2.0-0022260855,S0047248485800312
0.048,0.835,0.117,0.9992,2-s2.0-55949084518,S0047248408001358
0.045,0.85,0.105,0.9999,2-s2.0-0017264253,47248476900968
0.016,0.921,0.063,0.9991,2-s2.0-84960171755,S004724841600021X
0.052,0.804,0.144,0.9998,2-s2.0-0020574908,S0047248483800189
0.014,0.903,0.083,0.995,2-s2.0-85052861255,S0047248417303391
0.035,0.881,0.085,0.9906,2-s2.0-0006320917,S0047248482800572
0.021,0.899,0.08,0.9999,2-s2.0-84884589081,S0047248413001693
0.096,0.859,0.045,-1.0,2-s2.0-34249330699,S0047248407000164
0.029,0.887,0.084,0.9989,2-s2.0-0020442609,S0047248482800067
0.028,0.928,0.044,0.9949,2-s2.0-85087050749,S0047248420300944
0.026,0.882,0.092,0.9998,2-s2.0-67349139345,S0047248408002431
0.0,0.934,0.066,0.9882,2-s2.0-0028315213,S0047248484710128
0.046,0.881,0.072,0.9982,2-s2.0-38249027433,47248488900310
0.0,0.954,0.046,0.9468,2-s2.0-0028558125,S0047248484710578
0.038,0.796,0.167,0.9984,2-s2.0-58149370948,S0047248484800706
0.039,0.874,0.087,0.999,2-s2.0-0022256507,S0047248485800257
0.028,0.886,0.086,0.9998,2-s2.0-0001944207,004724849290106J
0.018,0.918,0.064,0.9607,2-s2.0-0027444333,S0047248483710031
0.028,0.902,0.07,0.9995,2-s2.0-79953057600,S004724841000237X
0.027,0.901,0.072,0.9999,2-s2.0-79953061385,S0047248410002423
0.016,0.909,0.075,0.9999,2-s2.0-85054834733,S0047248417305183
0.112,0.832,0.057,-0.9987,2-s2.0-0021200483,S0047248484800585
0.022,0.923,0.054,0.9805,2-s2.0-0348079119,0047-2484(90)90006-W
0.027,0.898,0.075,0.9999,2-s2.0-84877639424,S0047248413000651
0.0,0.942,0.058,0.9716,2-s2.0-0029504044,S0047248485710615
0.027,0.909,0.064,0.9997,2-s2.0-0002006578,47248488900486
0.046,0.857,0.097,0.9991,2-s2.0-0026472950,S0047248405800053
0.04,0.899,0.061,0.9974,2-s2.0-0025660673,004724849090053E
0.025,0.903,0.072,0.9997,2-s2.0-0000688189,S0047248483800074
0.018,0.912,0.07,0.999,2-s2.0-0018308529,47248479900411
0.018,0.821,0.161,1.0,2-s2.0-0037930526,S0047248403000459
0.0,0.911,0.089,0.9843,2-s2.0-0028311940,S0047248484710190
0.03,0.903,0.067,0.9948,2-s2.0-0018218814,S0047248478800621
0.024,0.9,0.076,0.9998,2-s2.0-85051024199,S0047248417304815
0.03,0.9,0.071,0.9999,2-s2.0-85022063784,S004724841630269X
0.003,0.971,0.026,0.9686,2-s2.0-0033884792,S0047248400904172
0.016,0.92,0.064,0.972,2-s2.0-58149404989,S0047-2484(78)80094-3
0.061,0.834,0.105,0.9997,2-s2.0-0002843918,47248492900277
0.031,0.828,0.14,1.0,2-s2.0-84961574808,S0047248415002766
0.018,0.917,0.065,0.9961,2-s2.0-49649133348,47248472900413
0.039,0.896,0.066,0.9993,2-s2.0-85090564937,S0047248420301251
0.016,0.905,0.079,0.9999,2-s2.0-85050686921,S0047248417303779
0.028,0.861,0.111,0.9999,2-s2.0-0000847271,S0047248485800579
0.033,0.919,0.049,0.9995,2-s2.0-84940452439,S0047248415001633
0.005,0.919,0.076,0.9887,2-s2.0-0028194060,S0047248484710256
0.064,0.861,0.076,0.9727,2-s2.0-84962108519,S0047248416000282
0.028,0.889,0.083,0.9995,2-s2.0-2442680058,S0047248404000405
0.019,0.912,0.069,0.9995,2-s2.0-84884588233,S0047248413001851
0.008,0.91,0.083,0.9994,2-s2.0-0015781771,47248473900791
0.046,0.879,0.075,0.9995,2-s2.0-85018944109,S0047248417301197
0.019,0.907,0.074,0.9996,2-s2.0-85092458426,S0047248420301482
0.019,0.928,0.053,0.991,2-s2.0-0037530439,S0047248403000265
0.023,0.922,0.055,0.9998,2-s2.0-84879178379,S0047248413001152
0.045,0.874,0.081,0.9962,2-s2.0-0018819589,47248480900366
0.08,0.848,0.072,-0.9988,2-s2.0-0037229736,S0047248402001963
0.033,0.916,0.051,0.9633,2-s2.0-0033179944,S004724849990307X
0.017,0.901,0.083,0.9999,2-s2.0-85043467147,S0047248417303846
0.027,0.865,0.108,1.0,2-s2.0-85087992990,S0047248420300786
0.037,0.907,0.056,0.9997,2-s2.0-85067504163,S0047248418302379
0.015,0.917,0.068,0.9998,2-s2.0-85102890302,S0047248421000282
0.029,0.888,0.083,0.9803,2-s2.0-0028605401,S004724848471044X
0.0,0.945,0.055,0.8807,2-s2.0-0013632137,S0047248496900172
0.036,0.906,0.058,0.9648,2-s2.0-49349128385,47248473900912
0.044,0.861,0.095,0.9997,2-s2.0-38349129063,S0047248407001364
0.026,0.917,0.058,0.9978,2-s2.0-0021075367,S0047248483801389
0.027,0.918,0.055,0.9998,2-s2.0-0001425940,47248488900644
0.0,0.971,0.029,0.959,2-s2.0-0036836061,S0047248402905968
0.037,0.832,0.131,0.9999,2-s2.0-79957979015,S0047248411000698
0.039,0.893,0.068,0.9998,2-s2.0-84899089071,S0047248414000359
0.036,0.897,0.067,0.9998,2-s2.0-85044382344,S0047248417303780
0.02,0.912,0.067,0.998,2-s2.0-0001635635,S0047248483800062
0.039,0.912,0.049,0.9915,2-s2.0-0000631485,S0047-2484(86)80045-8
0.039,0.892,0.068,0.9996,2-s2.0-80455150020,S0047248411001965
0.013,0.928,0.059,0.9994,2-s2.0-80052260234,S0047248411001436
0.025,0.914,0.061,0.9986,2-s2.0-0040161672,S0047248485800646
0.03,0.92,0.051,0.8126,2-s2.0-0028867978,S0047248485710068
0.039,0.891,0.071,0.9997,2-s2.0-85053689692,S0047248417304803
0.025,0.876,0.099,0.9996,2-s2.0-0022517004,S0047248486800665
0.019,0.936,0.045,0.9996,2-s2.0-85092250358,S0047248420301494
0.033,0.892,0.075,0.9991,2-s2.0-78650873028,S0047248410002198
0.02,0.943,0.037,0.9888,2-s2.0-0025623331,004724849090059K
0.019,0.891,0.09,0.9989,2-s2.0-0024909944,004724848990078X
0.036,0.887,0.077,0.9995,2-s2.0-35648953215,S0047248407001558
0.024,0.926,0.05,0.9937,2-s2.0-0032100208,S0047248498902160
0.056,0.829,0.115,0.9995,2-s2.0-0017251262,47248476901007
0.038,0.889,0.072,0.9999,2-s2.0-85068606954,S0047248418302380
0.035,0.885,0.081,0.9998,2-s2.0-84961574757,S0047248416000294
0.02,0.884,0.096,1.0,2-s2.0-85044167207,S0047248417302257
0.032,0.915,0.054,0.9996,2-s2.0-36549037632,S0047248407001108
0.017,0.934,0.049,0.9963,2-s2.0-1942434506,S004724840400034X
0.026,0.898,0.076,1.0,2-s2.0-85019578517,S0047248416302706
0.019,0.928,0.053,0.9996,2-s2.0-0025958559,47248491900757
0.022,0.921,0.057,0.9989,2-s2.0-85104637234,S0047248421000294
0.033,0.905,0.062,0.9996,2-s2.0-77954218295,S0047248410000849
0.022,0.905,0.073,0.9905,2-s2.0-0019431525,S0047248481800140
0.017,0.925,0.058,0.9993,2-s2.0-0000623738,S0047248485800580
0.022,0.893,0.085,0.9999,2-s2.0-84863507667,S0047248412000711
0.013,0.87,0.117,0.9999,2-s2.0-24644440561,S0047248405000904
0.025,0.932,0.043,0.9906,2-s2.0-0041462165,S0047248486800720
0.015,0.916,0.069,0.9996,2-s2.0-0037309552,S0047248402001975
0.015,0.93,0.055,0.9998,2-s2.0-84879149656,S0047248413000997
0.009,0.941,0.05,0.9979,2-s2.0-0016831395,47248475901566
0.033,0.91,0.056,0.994,2-s2.0-0008713773,S0047248483801274
0.021,0.823,0.155,1.0,2-s2.0-0242413914,S0047248403001209
0.025,0.889,0.086,0.9992,2-s2.0-0018746939,47248479900903
0.016,0.907,0.077,0.9999,2-s2.0-85081662727,S0047248420300051
0.037,0.873,0.09,0.997,2-s2.0-0019838494,S0047248481800681
0.018,0.904,0.077,1.0,2-s2.0-85021688122,S0047248417302579
0.035,0.904,0.061,0.9997,2-s2.0-80052269037,S0047248411001461
0.029,0.903,0.067,0.9989,2-s2.0-79957970611,S004724841100087X
0.02,0.913,0.066,0.9995,2-s2.0-85020837466,S0047248417302129
0.028,0.897,0.075,0.9997,2-s2.0-77149148434,S0047248409002176
0.061,0.831,0.107,0.9999,2-s2.0-85052756274,S0047248417300817
0.06,0.888,0.052,-0.9995,2-s2.0-84949257104,S0047248415002377
0.044,0.9,0.055,0.999,2-s2.0-84906943197,S004724841400102X
0.021,0.9,0.079,0.9998,2-s2.0-84927692545,S004724841400147X
0.044,0.831,0.125,1.0,2-s2.0-13444291909,S0047248404001605
0.028,0.925,0.047,0.9612,2-s2.0-0034079597,S0047248499903627
0.0,0.925,0.075,0.9274,2-s2.0-0033094450,S0047248498902834
0.021,0.927,0.052,0.9983,2-s2.0-85088300833,S0047248420301093
0.036,0.877,0.087,0.9891,2-s2.0-28044461496,S0047248405001211
0.023,0.912,0.065,0.9998,2-s2.0-84865861552,S0047248412001157
0.016,0.882,0.101,0.9999,2-s2.0-38849105657,S0047248407002266
0.049,0.896,0.054,-0.0,2-s2.0-0029472461,S0047248485710603
0.02,0.903,0.077,0.9999,2-s2.0-85059777449,S0047248418302768
0.023,0.927,0.05,0.9965,2-s2.0-0005744460,004724849290072H
0.01,0.947,0.043,0.9325,2-s2.0-0028794273,S0047248485710044
0.026,0.892,0.081,0.9999,2-s2.0-70449107133,S0047248408001620
0.019,0.897,0.084,0.9999,2-s2.0-84865542036,S0047248412000802
0.038,0.856,0.106,0.9999,2-s2.0-85018954220,S0047248416301385
0.018,0.923,0.059,0.9996,2-s2.0-44649105083,S0047248408000031
0.028,0.891,0.081,1.0,2-s2.0-85048975418,S0047248417303743
0.03,0.858,0.112,1.0,2-s2.0-84952940510,S0047248415002249
0.007,0.964,0.029,0.9796,2-s2.0-0036801983,S0047248402905944
0.016,0.909,0.075,0.9999,2-s2.0-85102349660,S0047248421000191
0.045,0.894,0.061,0.9985,2-s2.0-85066107355,S0047248419300156
0.037,0.845,0.118,0.9999,2-s2.0-85087399568,S0047248420301007
0.038,0.886,0.076,0.9994,2-s2.0-24644453865,S0047248405000928
0.03,0.887,0.083,0.9998,2-s2.0-15444367224,S0047248404001691
0.027,0.903,0.07,0.9999,2-s2.0-85092068210,S0047248420301457
0.037,0.897,0.066,0.9994,2-s2.0-84927652601,S0047248414002061
0.019,0.893,0.089,1.0,2-s2.0-35648974158,S0047248407001431
0.012,0.932,0.055,0.9999,2-s2.0-85058783210,S0047248418302343
0.017,0.916,0.066,0.9995,2-s2.0-84961214302,S0047248416000257
0.018,0.92,0.062,0.9998,2-s2.0-0023692967,47248488900541
0.047,0.871,0.082,0.9989,2-s2.0-85047498141,S0047248417302294
0.015,0.907,0.078,0.999,2-s2.0-0001644773,S0047248485800543
0.058,0.842,0.1,0.9995,2-s2.0-0016766955,47248475900160
0.016,0.794,0.19,0.9995,2-s2.0-0018613967,0047-2484(79)90012-5
0.035,0.888,0.077,0.9999,2-s2.0-85015666307,S0047248417300246
0.028,0.882,0.091,0.9999,2-s2.0-84964561146,S0047248416000312
0.016,0.909,0.075,0.9722,2-s2.0-58149367957,S004724848580021X
0.028,0.88,0.093,0.9998,2-s2.0-0023547070,47248487900029
0.054,0.848,0.098,0.9987,2-s2.0-34447094637,S0047248407000735
0.098,0.864,0.039,-0.9996,2-s2.0-0020465478,S004724848280002X
0.052,0.866,0.082,0.9969,2-s2.0-0020029453,S004724848280047X
0.02,0.895,0.085,0.9999,2-s2.0-77952953509,S0047248410000023
0.017,0.883,0.1,0.9994,2-s2.0-0022912613,S0047248486800537
0.028,0.932,0.04,0.8779,2-s2.0-0033369193,S0047248499903172
0.008,0.912,0.08,0.9968,2-s2.0-0031148115,S0047248496901098
0.054,0.876,0.07,0.9969,2-s2.0-7544249145,S0047248404001150
0.023,0.893,0.084,0.9999,2-s2.0-70449726468,S0047248409000864
0.036,0.883,0.081,0.9991,2-s2.0-0024191416,47248488900280
0.015,0.912,0.073,0.9988,2-s2.0-0018097990,S0047248478800359
0.025,0.905,0.07,0.9999,2-s2.0-85060207979,S0047248418302197
0.031,0.91,0.058,0.9981,2-s2.0-0022257034,S0047248485800282
0.028,0.92,0.052,0.9993,2-s2.0-84931575683,S0047248415001062
0.027,0.899,0.074,0.9999,2-s2.0-0025244785,47248490900154
0.024,0.946,0.029,-0.0772,2-s2.0-0018773915,47248479900885
0.024,0.889,0.087,0.9999,2-s2.0-85058062505,S0047248418300903
0.066,0.825,0.109,0.9999,2-s2.0-0017044145,47248476900051
0.035,0.852,0.114,0.999,2-s2.0-0000426153,004724847490027X
0.009,0.955,0.036,0.989,2-s2.0-0033889889,S004724840090407X
0.02,0.927,0.054,0.9995,2-s2.0-85063722407,S0047248418302744
0.072,0.831,0.097,0.9991,2-s2.0-84931575414,S0047248415000809
0.029,0.899,0.073,0.9998,2-s2.0-84919626617,S0047248414002036
0.013,0.86,0.127,0.9986,2-s2.0-0017598330,S0047248477801309
0.036,0.902,0.063,0.9997,2-s2.0-84988847922,S0047248416301014
0.009,0.888,0.103,0.9999,2-s2.0-39149136563,S0047248407001935
0.047,0.891,0.062,0.9324,2-s2.0-33745194232,S004724840600056X
0.081,0.811,0.108,0.9999,2-s2.0-85044473311,S0047248417303597
0.034,0.888,0.079,0.9986,2-s2.0-77955849727,S0047248410000424
0.023,0.937,0.04,0.7818,2-s2.0-0033150149,S0047248499902919
0.031,0.896,0.074,0.9998,2-s2.0-14544279340,S0047248404001629
0.022,0.886,0.093,0.9977,2-s2.0-49549131466,47248476900397
0.055,0.862,0.083,0.9975,2-s2.0-33845508374,S0047248406001588
0.026,0.896,0.078,0.9999,2-s2.0-78650863246,S0047248410000977
0.013,0.955,0.032,0.9517,2-s2.0-0036752068,S0047248402905786
0.037,0.89,0.074,1.0,2-s2.0-1542316679,S0047248403001726
0.016,0.926,0.058,0.9485,2-s2.0-0004884704,S0047248484710554
0.012,0.847,0.14,0.9993,2-s2.0-51349159556,S0047248408000973
0.084,0.798,0.118,0.9997,2-s2.0-37949026032,S0047248482800948
0.017,0.957,0.026,0.8039,2-s2.0-0019771265,S0047248481800711
0.022,0.927,0.051,0.91,2-s2.0-0028193224,S0047248484710104
0.025,0.912,0.063,0.9998,2-s2.0-48349125971,S0047248408000420
0.017,0.922,0.06,0.9998,2-s2.0-85087497225,S0047248420300968
0.033,0.909,0.058,0.9995,2-s2.0-0025684208,0047-2484(90)90020-C
0.105,0.815,0.08,-0.9993,2-s2.0-84899129871,S0047248414000621
0.032,0.886,0.082,0.9999,2-s2.0-42949105199,S0047248407002175
0.016,0.909,0.075,0.9953,2-s2.0-0017565271,S0047248477801036
0.043,0.883,0.074,0.9954,2-s2.0-85054049230,S0047248418300915
0.02,0.924,0.055,0.9996,2-s2.0-84919642020,S0047248414002309
0.041,0.86,0.099,0.9994,2-s2.0-84952988798,S0047248415001074
0.014,0.876,0.11,1.0,2-s2.0-3042717222,S0047248404000612
0.022,0.911,0.067,0.9995,2-s2.0-84891664122,S004724841300239X
0.025,0.914,0.06,0.9993,2-s2.0-0022253274,S0047248485800294
0.016,0.893,0.091,0.9984,2-s2.0-0019141238,47248480900937
0.0,0.911,0.089,0.9643,2-s2.0-0033071128,S0047248498902731
0.05,0.861,0.089,0.9992,2-s2.0-0018758501,47248479900939
0.027,0.892,0.081,0.9995,2-s2.0-2142730502,47248488900279
0.019,0.914,0.067,0.9998,2-s2.0-36549048374,S0047248407001923
0.076,0.84,0.084,0.9786,2-s2.0-85006835893,S0047248416301002
0.038,0.891,0.071,0.9637,2-s2.0-0027444059,S0047248483710158
0.0,0.934,0.066,0.9648,2-s2.0-0029508970,S0047248485710639
0.012,0.954,0.034,0.9834,2-s2.0-0034972261,S0047248401904634
0.023,0.904,0.073,0.999,2-s2.0-0016331021,47248474900165
0.016,0.922,0.063,0.9998,2-s2.0-78149409941,S0047248410001223
0.024,0.919,0.057,0.9986,2-s2.0-84989956813,S0047248416300306
0.045,0.889,0.066,0.9975,2-s2.0-78149413536,S0047248410001673
0.03,0.887,0.083,1.0,2-s2.0-85105810751,S0047248421000646
0.03,0.816,0.155,0.9999,2-s2.0-64449083753,S0047248408002364
0.026,0.885,0.089,0.9999,2-s2.0-68049098027,S0047248409000608
0.015,0.953,0.031,0.9509,2-s2.0-0035544220,S0047248401905160
0.016,0.92,0.064,0.9999,2-s2.0-85032992386,S0047248417303755
0.009,0.959,0.033,0.9781,2-s2.0-0031160923,S004724849690127X
0.02,0.936,0.044,0.9997,2-s2.0-84885375399,S0047248413001607
0.018,0.912,0.07,0.9998,2-s2.0-84863520277,S0047248412000814
0.021,0.891,0.088,0.9999,2-s2.0-85029529267,S0047248417300179
0.038,0.882,0.08,0.9999,2-s2.0-51349166556,S0047248408000924
0.031,0.896,0.073,0.9997,2-s2.0-0018131154,S0047248478800748
0.028,0.852,0.12,0.9998,2-s2.0-84905752285,S0047248414001067
0.026,0.917,0.057,0.9999,2-s2.0-85100057248,S0047248420302001
0.015,0.921,0.063,0.9987,2-s2.0-0021690071,S0047248484800287
0.073,0.844,0.083,0.9797,2-s2.0-0021244996,S0047248484800792
