neg,neu,pos,compound,eid,pii
0.052,0.885,0.063,0.9988,2-s2.0-0000194875,S0047-2484(85)80002-6
0.014,0.944,0.042,0.9924,2-s2.0-0035172273,S004724840190507X
0.041,0.902,0.056,0.9978,2-s2.0-0026448727,47248492900336
0.153,0.759,0.088,-0.9998,2-s2.0-0017040622,47248476900038
0.138,0.773,0.089,-0.9994,2-s2.0-0016334397,004724847490013X
0.038,0.879,0.083,0.9996,2-s2.0-0024263072,47248488900656
0.014,0.925,0.061,0.9993,2-s2.0-33748902607,S0047248406000935
0.034,0.858,0.107,0.9998,2-s2.0-0002421485,47248473900900
0.034,0.906,0.06,0.9993,2-s2.0-38549157162,S0047248407001376
0.013,0.908,0.079,0.9999,2-s2.0-38249030428,47248488900528
0.034,0.865,0.1,1.0,2-s2.0-84907290715,S0047248414001274
0.026,0.92,0.054,0.9965,2-s2.0-56049120799,S0047248408001425
0.022,0.91,0.067,0.9999,2-s2.0-85067657307,S0047248418304354
0.015,0.902,0.083,0.9999,2-s2.0-84952937487,S0047248415002109
0.022,0.931,0.047,0.999,2-s2.0-84865567767,S0047248412001145
0.03,0.9,0.07,0.9984,2-s2.0-0037745507,004724847290019X
0.017,0.899,0.084,0.9999,2-s2.0-85012297204,S0047248416302743
0.016,0.919,0.065,0.9991,2-s2.0-70449722887,S0047248409001031
0.021,0.918,0.06,0.999,2-s2.0-33947383372,S0047248406002119
0.032,0.889,0.079,0.9998,2-s2.0-85015685994,S0047248417300805
0.004,0.969,0.027,0.9756,2-s2.0-0035157025,S0047248401904889
0.012,0.914,0.074,0.9977,2-s2.0-49249143359,0047-2484(79)90003-4
0.038,0.895,0.067,0.9934,2-s2.0-77953535557,S0047248409002164
0.035,0.898,0.067,0.9993,2-s2.0-84864560769,S0047248411001473
0.025,0.905,0.069,0.9997,2-s2.0-84891663732,S0047248413002054
0.026,0.819,0.155,0.9995,2-s2.0-58149371062,S004724848380147X
0.015,0.921,0.064,0.9937,2-s2.0-0019853822,S0047248481800693
0.0,0.907,0.093,0.9876,2-s2.0-0028313793,S0047248484710086
0.035,0.885,0.08,0.999,2-s2.0-0026273484,004724849190110H
0.019,0.877,0.104,0.9997,2-s2.0-34548274606,S0047248407000863
0.03,0.931,0.039,0.9525,2-s2.0-32044448953,S0047248405001983
0.003,0.945,0.052,0.9987,2-s2.0-0031064958,S0047248496901049
0.009,0.93,0.061,0.998,2-s2.0-84883446298,S0047248413000985
0.007,0.871,0.122,0.9964,2-s2.0-45349112445,004724848990095X
0.032,0.906,0.062,0.9993,2-s2.0-69549091590,S0047248409000591
0.034,0.882,0.084,0.9998,2-s2.0-0018294511,47248479900435
0.027,0.821,0.153,0.9999,2-s2.0-0347799721,S0047248483800050
0.026,0.869,0.105,0.9981,2-s2.0-85090695197,S0047248420301330
0.019,0.9,0.082,0.999,2-s2.0-0022261170,S0047248485800361
0.036,0.896,0.068,0.9996,2-s2.0-84927693993,S0047248414001080
0.033,0.91,0.057,0.9995,2-s2.0-55749108176,S0047248408000869
0.023,0.924,0.053,0.9974,2-s2.0-0346394348,S0047248403001283
0.028,0.891,0.08,0.9999,2-s2.0-84977124799,S0047248416300070
0.024,0.941,0.035,0.9991,2-s2.0-85082923371,S0047248420300464
0.021,0.906,0.073,0.9998,2-s2.0-36549063455,S004724840700111X
0.024,0.884,0.091,0.9887,2-s2.0-84952981829,S0047248415002742
0.012,0.934,0.055,0.9992,2-s2.0-0007990953,004724849090072J
0.031,0.875,0.095,0.9998,2-s2.0-0020024405,S0047248482800444
0.022,0.92,0.058,0.9995,2-s2.0-84902265494,S0047248414000384
0.015,0.922,0.063,0.9999,2-s2.0-85089847133,S0047248420301275
0.017,0.929,0.054,0.988,2-s2.0-49649130550,47248472900437
0.049,0.896,0.055,0.9531,2-s2.0-85015636318,S0047248417300258
0.008,0.918,0.074,0.9897,2-s2.0-0028873642,S004724848571007X
0.016,0.931,0.053,0.9996,2-s2.0-84887613608,S0047248413001875
0.02,0.917,0.063,0.9998,2-s2.0-67650147994,S0047248409000207
0.03,0.917,0.053,0.9998,2-s2.0-84881614093,S0047248413001176
0.025,0.873,0.101,0.9999,2-s2.0-85087479354,S0047248420301019
0.036,0.879,0.084,0.9998,2-s2.0-84928705910,S004724841500024X
0.018,0.936,0.045,0.91,2-s2.0-0036833680,S004724840290597X
0.046,0.893,0.061,0.9993,2-s2.0-79955472064,S0047248411000583
0.019,0.915,0.066,0.9981,2-s2.0-70450233533,S0047248409000712
0.027,0.899,0.073,0.9935,2-s2.0-0025590588,004724849090054F
0.045,0.875,0.08,0.9999,2-s2.0-32044441406,S0047248405001624
0.015,0.875,0.11,1.0,2-s2.0-84863514002,S0047248412000723
0.024,0.925,0.051,0.9999,2-s2.0-85065721793,S004724841830277X
0.0,0.943,0.057,0.9468,2-s2.0-0028192587,S0047248484710049
0.019,0.863,0.118,1.0,2-s2.0-0026451618,004724849290059I
0.054,0.878,0.068,0.9851,2-s2.0-49549154715,47248474900244
0.015,0.896,0.088,1.0,2-s2.0-85070562455,S004724841830232X
0.033,0.884,0.082,0.9993,2-s2.0-77958187281,S0047248410001417
0.013,0.898,0.09,0.9977,2-s2.0-0019176586,47248480900895
0.03,0.794,0.176,0.9999,2-s2.0-0016731294,47248475901554
0.033,0.914,0.053,0.9991,2-s2.0-0025683621,004724849090063H
0.03,0.921,0.049,0.9584,2-s2.0-0018938456,47248480900196
0.047,0.878,0.075,0.9932,2-s2.0-0020403577,S0047248482800043
0.03,0.884,0.086,0.9997,2-s2.0-0022324481,S004724848580052X
0.009,0.933,0.058,0.999,2-s2.0-85082141309,S0047248420300063
0.026,0.906,0.068,0.9999,2-s2.0-84906941508,S0047248414001468
0.031,0.879,0.09,0.9998,2-s2.0-33748909924,S0047248406001345
0.02,0.929,0.051,0.9973,2-s2.0-0007829727,S0047248478800347
0.033,0.929,0.038,0.9906,2-s2.0-0026308011,47248491901066
0.028,0.915,0.056,0.9997,2-s2.0-84855186434,S0047248411002156
0.0,0.945,0.055,0.8807,2-s2.0-0033128970,S0047248499902907
0.021,0.947,0.032,0.6597,2-s2.0-0034055082,S0047248499903615
0.061,0.872,0.068,0.6369,2-s2.0-0029752234,S0047248496900044
0.019,0.904,0.078,0.9999,2-s2.0-84877654188,S0047248413000730
0.046,0.849,0.105,0.9998,2-s2.0-80955180582,S0047248411000868
0.005,0.948,0.047,0.9949,2-s2.0-0036752612,S0047248402905798
0.045,0.876,0.079,0.9994,2-s2.0-80053385220,S0047248411001795
0.03,0.897,0.073,0.9999,2-s2.0-84877682974,S0047248413000675
0.082,0.874,0.044,-0.9994,2-s2.0-34548527033,S0047248407001182
0.028,0.907,0.065,0.9991,2-s2.0-0026313591,004724849190094C
0.007,0.884,0.109,0.9938,2-s2.0-0028573009,S0047248484710360
0.023,0.906,0.072,0.9995,2-s2.0-38849088369,S0047248407002254
0.056,0.873,0.07,0.9971,2-s2.0-58549109404,S004724840800208X
0.022,0.879,0.099,0.9999,2-s2.0-38949179676,S0047248407001881
0.039,0.888,0.074,0.9999,2-s2.0-28044470977,S0047248405001223
0.041,0.804,0.156,0.9998,2-s2.0-0016729210,47248475901542
0.047,0.879,0.073,0.9998,2-s2.0-0018773269,47248479900927
0.03,0.861,0.109,0.9987,2-s2.0-0003271733,47248488900267
0.029,0.899,0.072,0.999,2-s2.0-0018744269,0047-2484(79)90062-9
0.042,0.891,0.067,0.9339,2-s2.0-0004811309,47248473900961
0.036,0.878,0.086,0.9981,2-s2.0-1542376552,S0047248403001738
0.03,0.909,0.062,0.9998,2-s2.0-85081023510,S0047248420300075
0.103,0.845,0.052,-0.9995,2-s2.0-38249021975,47248489900389
0.027,0.913,0.06,0.9997,2-s2.0-79952360290,S0047248410002368
0.036,0.889,0.075,0.9992,2-s2.0-76949102586,S0047248409002152
0.024,0.914,0.062,0.9998,2-s2.0-85048175355,S004724841730427X
0.042,0.881,0.077,0.9967,2-s2.0-0018184732,S0047-2484(78)80114-6
0.047,0.849,0.104,0.9991,2-s2.0-0017871765,S0047248478801110
0.065,0.843,0.093,0.9949,2-s2.0-85006707304,S0047248416301270
0.015,0.928,0.058,0.9991,2-s2.0-0007682115,S0047248482800055
0.025,0.903,0.072,0.9999,2-s2.0-85103074000,S0047248421000208
0.018,0.907,0.075,0.9999,2-s2.0-49649138174,0047-2484(72)90012-7
0.025,0.921,0.054,0.9996,2-s2.0-85106598492,S0047248421000658
0.026,0.904,0.07,0.9999,2-s2.0-84974536553,S0047248416300318
0.007,0.963,0.029,0.9878,2-s2.0-0034028456,S0047248499903603
0.039,0.908,0.052,0.9987,2-s2.0-79953043180,S0047248410002411
0.021,0.932,0.047,0.994,2-s2.0-0022522041,S0047248486800616
0.046,0.908,0.047,-0.1531,2-s2.0-0033120769,S0047248498902810
0.018,0.909,0.073,0.9999,2-s2.0-85072677160,S004724841930082X
0.03,0.906,0.064,0.9996,2-s2.0-29244489062,S0047248405001235
0.034,0.905,0.061,0.9997,2-s2.0-38849117197,S0047248407002242
0.016,0.83,0.154,0.9999,2-s2.0-0021605445,S0047-2484(84)80040-8
0.0,0.879,0.121,0.9937,2-s2.0-0002391727,S0047248483710146
0.019,0.914,0.067,0.9998,2-s2.0-55949101981,S0047248408001413
0.026,0.904,0.069,0.9781,2-s2.0-0029475633,S0047248485710627
0.017,0.918,0.065,0.9998,2-s2.0-85048386745,S0047248417302361
0.028,0.907,0.065,0.9998,2-s2.0-84960327012,S0047248416000208
0.089,0.82,0.091,-0.9806,2-s2.0-0017255356,004724847690097X
0.025,0.872,0.103,0.9999,2-s2.0-36549050339,S0047248407001194
0.033,0.808,0.159,1.0,2-s2.0-80053383401,S0047248411001783
0.023,0.9,0.077,1.0,2-s2.0-38349147313,S0047248407001340
0.0,0.923,0.077,0.9709,2-s2.0-3543126708,47248473900936
0.013,0.893,0.094,0.9779,2-s2.0-0030433698,S0047248496900639
0.002,0.946,0.052,0.9821,2-s2.0-0031202598,S004724849790138X
0.021,0.895,0.084,0.9999,2-s2.0-85017462845,S0047248417300921
0.053,0.881,0.066,0.9984,2-s2.0-42649115755,S0047248407002096
0.022,0.95,0.028,0.875,2-s2.0-0033512579,S0047248499903068
0.046,0.89,0.064,0.9822,2-s2.0-0018649814,47248479900423
0.041,0.9,0.059,0.9993,2-s2.0-84885378460,S0047248413001619
0.076,0.856,0.068,0.9992,2-s2.0-85090234110,S0047248420301263
0.038,0.89,0.072,1.0,2-s2.0-80455174377,S0047248411001941
0.038,0.875,0.087,0.9996,2-s2.0-0037872273,S0047248403000484
0.031,0.889,0.08,0.9999,2-s2.0-84960945036,S0047248415002754
0.051,0.873,0.077,0.9996,2-s2.0-84920564137,S0047248414001079
0.029,0.897,0.074,0.9992,2-s2.0-80051468988,S0047248411001412
0.005,0.9,0.095,0.9999,2-s2.0-85062149700,S0047248417304827
0.023,0.918,0.058,0.9985,2-s2.0-0021746270,S0047248484800299
0.047,0.894,0.059,0.9986,2-s2.0-0347024451,S0047248403001295
0.032,0.906,0.063,0.9995,2-s2.0-70549113548,S0047248409001729
